Name,Address,Type,Description,Image_URL
"Grapevine Lake","880 Simmons Rd, Flower Mound, TX 75022",Recreation,"A large lake to visit with lots of opportunity for outdoor fun","https://candysdirt.com/wp-content/uploads/2016/05/lake-Grapevine-1024x768.jpeg"
"Flower Mound High School","3411 Peters Colony Rd, Flower Mound, TX 75022",School,"Where I spent my high school years","https://imagescdn.homes.com/i2/18Zg0F87WCbkQfkRT1oPkLROWG-G-LMfumXVwt-lxxo/117/flower-mound-high-school-flower-mound-tx-2-schoolphoto.jpg?p=1"
"Lakeside DFW","2500 Lakeside Pkwy, Flower Mound, TX 75022",Recreation,"A more recent development in Flower Mound, lots of newer restaurants and close to the water","https://imagescdn.homes.com/i2/qf0SFtE7MKJtqYl-OIu4keWgNUt2Y_9jUTVwCv2dtX8/117/lakeside-dfw-flower-mound-tx-2.jpg?p=1"
"Heritage Park","600 Spinks Rd, Flower Mound, TX 75028",Park,"A central park that I used to go frequently as a kid but still visit now with a nice trail","https://tse3.mm.bing.net/th/id/OIP.MdgUmgSGRjYXQ4GU_nFQ1AHaEw?rs=1&pid=ImgDetMain&o=7&rm=3"
"The River Walk at Central Park","4400 River Walk Dr, Flower Mound, TX 75028",Recreation,"A very visually appealing place to walk around a waterway with several restaurants to try","https://i.ytimg.com/vi/bq5WGVZYH84/maxresdefault.jpg"
"Epic Gelato & Craft Coffee","2400 Lakeside Pkwy #100, Flower Mound, TX 75022",Restaurant,"A solid spot for dessert and coffee in Lakeside","https://s3-media0.fl.yelpcdn.com/bphoto/papFCNdhwOIunGpKeSXcgA/l.jpg"
"Club4 Fitness","1901 Long Prairie Rd, Flower Mound, TX 75022",Recreation,"My go-to gym for weightlifting","https://www.club4fitness.com/wp-content/uploads/2024/08/PVille56-scaled-1.webp"
"Chipotle Mexican Grill","1900 Long Prairie Rd, Flower Mound, TX 75022",Restaurant,"A frequent meeting spot and a personal favorite for me and my friends to grab a meal","https://tse4.mm.bing.net/th/id/OIP.IYascq5sTY7ejj86mh0v3gHaFv?rs=1&pid=ImgDetMain&o=7&rm=3"
"Community Activity Center (CAC)","1200 Gerault Rd, Flower Mound, TX 75028",Cultural,"A large activity center with gyms and a waterpark; I spent a lot of my childhood doing sports and swimming","https://tse4.mm.bing.net/th/id/OIP.HfHcF7Epg5g65yZfUHfrYgAAAA?rs=1&pid=ImgDetMain&o=7&rm=3"
"Founders Square","1500 Parker Square Rd, Flower Mound, TX 75028",Restaurant,"An area where my friends and I used to walk before we had our drivers licenses because it was always close to school. Lots of options for food","https://static.cfacdn.com/photos/restaurants/00740/large.jpg"
